금융상품의 종류,계좌번호,금액,연이자율,최종이자지급일,만기일,인출제한 등,추가열1,추가열2
대 출 종 류 (9),"24(10)
금
금","24(10)
금
금",데 출 일 (11),(12),이 자,이 자,"상 환 방법
(15)","담 보 ㆍ 보증
및 관 련 약정
(16)"
대 출 종 류 (9),약 정 한도액,대 출 금 액,데 출 일 (11),(12),"연 이 자율
(","최 종 이자
지급일
(14)","상 환 방법
(15)","담 보 ㆍ 보증
및 관 련 약정
(16)"
단기,"1,000,000","1,000,000",23.12.31,26.12.31,1.3%,24.12.31,만 기 일 시,
단기,"1,600,000,000}","1,000,000,000",19.10.31,26.12.31,17%,24.12.31,만 기 일 시,비고
단기,"900,000","‘900,000",,26.12.31,1.3%,24.12.31,만 기 일 시,
단기,542.943,"542,943",23.12.31,26.12.31,1.3%,25.05.31,만 기 일 시,
단기,"1,000,000","1,000,000",18.06.07,26.12.31,1.3%,24.12.31,원 리 금 상환,
단기,"1,700,000","1,700,000",25.02.07,26.12.31,1.8%,24.12.31,만 기 일 시,비고
단기,"1,600,000","1,600,000",24.12.31,26.12.31,13%,25.03.31,원 리 금 상환,비고
장기,"10,000,000","10,000,000",24.12.31,27.0531,13%,25.01.31,만 기 일 시,
장기,968.285,"958,285",,28.12.31,"1,3%",24.12.31,만 기 일 시,
장기,"205,920","205,920","21,1231",28.09.30,"1,3%",24.12.31,만 기 일 시,
장기,"1,000,000","1,000,000,","21,1231",29.12.31,3.1%,24.12.31,원 리 금 상환,비고
장기,"16,000,000","16,000,000",22.42.31,29.1031,1.3%,24.12.31,원 리 금 상환,
장기,"18,000,000","18,000,000",,,1.3%,,만 기 일 시,
장기,"21,500,000","10,000,000",,29.03.20,18%,24.12.31,만 기 일 시,
장기,"25,050,029","25,050,029",,29.12.31,1.3%,24.12.31,만 기 일 시,비고
장기,"90,825,582",=,,29.12.31,1.3%,,원 리 금 상환,
장기,"10,825,525","10,825,525",19.12.31,29.1231,18%,25.08.31,만 기 일 시,비고
